psgc;income_class;year;current_operating_income_local_tax_real_property_general;current_operating_income_local_tax_real_property_special_education;current_operating_income_local_tax_real_property_total;current_operating_income_local_tax_business;current_operating_income_local_tax_other;current_operating_income_local_tax_total;current_operating_income_local_nontax_regulatory_fees;current_operating_income_local_nontax_service_user_charges;current_operating_income_local_nontax_economic_enterprise_receipts;current_operating_income_local_nontax_other_receipts;current_operating_income_local_nontax_total;current_operating_income_local_total;current_operating_income_external_national_tax_allotment;current_operating_income_external_national_tax_other_shares;current_operating_income_external_interlocal_transfers;current_operating_income_external_extraordinary_donations;current_operating_income_external_total;current_operating_income_total;current_operating_expenditures_general_public_services;current_operating_expenditures_social_services_manpower_development;current_operating_expenditures_social_services_health_nutrition_population;current_operating_expenditures_social_services_labor_employment;current_operating_expenditures_social_services_housing_community_development;current_operating_expenditures_social_services_welfare;current_operating_expenditures_social_services_total;current_operating_expenditures_economic_services;current_operating_expenditures_debt_services;current_operating_expenditures_total;net_operating_income;non_income_receipts_capital_investment_asset_sale_proceeds;non_income_receipts_capital_investment_others_debt_securities_sales_proceeds;non_income_receipts_capital_investment_loans_receivable_collections;non_income_receipts_capital_investment_total;non_income_receipts_loans_borrowings_loans_acquisitions;non_income_receipts_loans_borrowings_bonds_issuance;non_income_receipts_loans_borrowings_total;non_income_receipts_others;non_income_receipts_total;nonoperating_expenditures_capital_investment_property_plant_equipment;nonoperating_expenditures_capital_investment_other_entities_debt_securities;nonoperating_expenditures_capital_investment_other_entities_grant_loan;nonoperating_expenditures_capital_investment_total;nonoperating_expenditures_debt_service_loan_amortization_payment;nonoperating_expenditures_debt_service_retirement_bonds_redemption_debt_securities;nonoperating_expenditures_debt_service_total;nonoperating_expenditures_other;nonoperating_expenditures_total;funds_net_increase;cash_balance_beginning;fund_available;accounts_payable_payment_of_prior_years;continuing_appropriation;fund_balance
0200900000;5th;2023;1822117.86;2660495.39;4482613.25;39649.48;749455.96;5271718.69;103975.00;19146896.14;0.00;584154.70;19835025.84;25106744.53;620945100.96;0.00;39755.76;0.00;620984856.72;646091601.25;254760900.36;1663172.98;52447454.15;0.00;0.00;40113711.06;94224338.19;99423513.41;0.00;448408751.96;197682849.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;594457.35;594457.35;34506398.85;0.00;0.00;34506398.85;0.00;0.00;0.00;0.00;34506398.85;163770907.79;593405797.37;757176705.16;0.00;90705354.91;666471350.25
0201500000;1st;2023;45063231.57;64373018.59;109436250.16;36639900.39;11027417.40;157103567.95;3531602.50;16653648.95;15162382.84;4566552.02;39914186.31;197017754.26;3326599493.04;61326473.89;0.00;0.00;3387925966.93;3584943721.19;650557160.53;19866822.42;364905112.90;0.00;0.00;21346844.50;406118779.82;220057528.15;0.00;1276733468.50;2308210252.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1260000.00;0.00;0.00;1260000.00;0.00;0.00;0.00;8195948.00;9455948.00;2298754304.69;4880080789.47;7178835094.16;783804063.25;1065519522.09;5329511508.82
0203100000;1st;2023;76798322.66;102041014.75;178839337.41;43008111.79;23670531.28;245517980.48;3193695.55;335444928.00;0.00;394391.64;339033015.19;584550995.67;4110513050.04;473166711.44;14214700.37;100162918.33;4698057380.18;5282608375.85;2565420108.86;45105534.33;483686859.46;0.00;0.00;31340184.03;560132577.82;163871089.56;116557261.71;3405981037.95;1876627337.90;0.00;0.00;0.00;0.00;28158770.00;0.00;28158770.00;23309073.85;51467843.85;1093878988.19;0.00;0.00;1093878988.19;0.00;0.00;0.00;93014962.02;1186893950.21;741201231.54;4536801923.39;5278003154.93;347317350.14;264028249.09;4666657555.70
0205000000;2nd;2023;40890780.87;58188113.26;99078894.13;14262579.17;225333246.46;338674719.76;4324149.32;181709876.92;0.00;4464995.53;190499021.77;529173741.53;1756179162.96;116691681.53;29857001.13;9966325.60;1912694171.22;2441867912.75;710266582.31;27580725.67;439107693.87;0.00;0.00;24446338.88;491134758.42;232305493.77;21036509.84;1454743344.34;987124568.41;0.00;0.00;0.00;0.00;157376974.21;0.00;157376974.21;374882744.05;532259718.26;254203084.08;0.00;0.00;254203084.08;33244838.80;0.00;33244838.80;380348050.16;667795973.04;851588313.63;1142126602.19;1993714915.82;312034835.05;339818117.25;1341861963.52
0205700000;3rd;2023;6927102.15;9895859.91;16822962.06;4943444.05;1544409.76;23310815.87;1725870.83;293945474.72;91451835.19;550174.55;387673355.29;410984171.16;1300209108.96;416454.06;9943928.35;0.00;1310569491.37;1721553662.53;447768701.76;7789171.96;323248045.71;1140951.42;0.00;194169471.84;526347640.93;124953644.22;5301608.24;1104371595.15;617182067.38;0.00;0.00;0.00;0.00;46970464.00;0.00;46970464.00;10385673.45;57356137.45;203006215.84;0.00;0.00;203006215.84;26039248.83;0.00;26039248.83;0.00;229045464.67;445492740.16;1350829213.51;1796321953.67;68499970.82;100532679.48;1627289303.37
0307700000;3rd;2023;20167299.88;28805818.38;48973118.26;12084939.30;4817230.97;65875288.53;1219050.00;90523022.78;0.00;11004331.18;102746403.96;168621692.49;1286615528.04;0.00;0.00;0.00;1286615528.04;1455237220.53;335544157.80;23147830.78;186534975.41;8326097.27;0.00;45322003.77;263330907.23;121100962.71;2071092.88;722047120.62;733190099.91;0.00;0.00;0.00;0.00;940000000.00;0.00;940000000.00;35906104.24;975906104.24;470866062.24;0.00;0.00;470866062.24;0.00;0.00;0.00;362754472.21;833620534.45;875475669.70;1115814416.16;1991290085.86;67306239.44;250498619.61;1673485226.81
0300800000;1st;2023;687233796.32;981762566.11;1668996362.43;28909926.65;199609443.47;1897515732.55;2189200.00;217108942.72;0.00;4082095.03;223380237.75;2120895970.30;1716535310.04;35319656.28;0.00;119631179.37;1871486145.69;3992382115.99;1273084821.66;267205788.38;300472314.51;7917325.91;3639226.65;120905799.81;700140455.26;147343596.14;129391811.34;2249960684.40;1742421431.59;1131870.00;0.00;0.00;1131870.00;435648639.89;0.00;435648639.89;0.00;436780509.89;435684821.00;0.00;0.00;435684821.00;342870031.54;0.00;342870031.54;0.00;778554852.54;1400647088.94;612333055.90;2012980144.84;391562418.61;659796135.89;961621590.34
0301400000;1st;2023;445465034.50;639352568.98;1084817603.48;147518391.09;202384465.05;1434720459.62;80495049.50;4717931.18;708130892.26;5368266.99;798712139.93;2233432599.55;5096217735.00;7546193.04;0.00;0.00;5103763928.04;7337196527.59;2458510393.40;192183565.31;2133326685.84;26369658.97;0.00;240677401.06;2592557311.18;241179090.59;67624778.76;5359871573.93;1977324953.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;891971235.81;0.00;0.00;891971235.81;158131936.80;0.00;158131936.80;492281418.41;1542384591.02;434940362.64;1536065519.68;1971005882.32;445289988.99;614540.80;1525101352.53
0304900000;1st;2023;148509706.77;212156723.95;360666430.72;5585473.07;174736227.62;540988131.41;12793459.61;268352875.18;0.00;9363137.99;290509472.78;831497604.19;3971564550.96;2801734.03;0.00;62941079.31;4037307364.30;4868804968.49;1772433444.52;77031403.23;501475245.26;9652561.42;0.00;252683420.48;840842630.39;290013970.08;58310572.16;2961600617.15;1907204351.34;0.00;0.00;0.00;0.00;196257761.16;0.00;196257761.16;0.00;196257761.16;526674345.15;0.00;0.00;526674345.15;265935273.92;0.00;265935273.92;0.00;792609619.07;1310852493.43;3824552598.48;5135405091.91;1160563148.31;287364320.63;3687477622.97
0305400000;1st;2023;142606763.98;185754528.04;328361292.02;714630044.18;118404630.76;1161395966.96;98129690.00;5055635.48;972810185.33;108236841.83;1184232352.64;2345628319.60;3567629997.00;3110712.87;0.00;0.00;3570740709.87;5916369029.47;1698415333.15;72616253.49;193690120.35;0.00;0.00;389154792.33;655461166.17;1040159174.21;0.00;3394035673.53;2522333355.94;852030.31;0.00;0.00;852030.31;0.00;0.00;0.00;0.00;852030.31;3116788.00;0.00;0.00;3116788.00;0.00;0.00;0.00;0.00;3116788.00;2520068598.25;7463381667.73;9983450265.98;509171011.36;225132801.05;9249146453.57
0306900000;1st;2023;80199646.24;115878775.64;196078421.88;19606523.55;41342185.29;257027130.72;43297128.54;219362388.79;0.00;3000767.44;265660284.77;522687415.49;2637318135.00;15159361.68;37726.68;16630654.92;2669145878.28;3191833293.77;710938068.67;68234669.96;481113611.99;18290007.95;61558884.78;181907802.91;811104977.59;127951467.15;31800055.43;1681794568.84;1510038724.93;362367.00;0.00;4606690.13;4969057.13;0.00;0.00;0.00;147118666.04;152087723.17;358852331.87;0.00;0.00;358852331.87;183906818.94;0.00;183906818.94;0.00;542759150.81;1119367297.29;1444202739.00;2563570036.29;438946476.57;29992186.85;2094631372.87
0307100000;2nd;2023;162691234.90;231707088.03;394398322.93;113356837.20;446072662.00;953827822.13;106960500.00;78122567.34;0.00;157390363.67;342473431.01;1296301253.14;1802376417.00;8176768.54;491394322.06;0.00;2301947507.60;3598248760.74;1098198468.38;81186439.98;433091954.84;804622.01;0.00;218031291.14;733114307.97;188290402.35;0.00;2019603178.70;1578645582.04;0.00;0.00;0.00;0.00;510163820.00;0.00;510163820.00;499220714.69;1009384534.69;456038909.31;0.00;0.00;456038909.31;0.00;0.00;0.00;1595458557.62;2051497466.93;536532649.80;1474372137.56;2010904787.36;126108485.01;0.00;1884796302.35
0401000000;1st;2023;323675910.80;460792473.53;784468384.33;38269353.35;164397821.92;987135559.60;390250.00;7290072.15;269181613.56;60468471.52;337330407.23;1324465966.83;4255821633.96;47183144.12;100000000.00;0.00;4403004778.08;5727470744.91;1473812210.76;102013749.86;838664199.34;0.00;76128893.59;661514229.36;1678321072.15;583159267.35;51864374.37;3787156924.63;1940313820.28;0.00;0.00;0.00;0.00;839840851.81;0.00;839840851.81;26582297.12;866423148.93;319913381.95;0.00;0.00;319913381.95;1.00;0.00;1.00;0.00;319913382.95;2486823586.26;6409741045.97;8896564632.23;702531715.12;1552256544.31;6641776372.80
0402100000;1st;2023;319931677.42;442108188.53;762039865.95;152836095.26;263834020.79;1178709982.00;7841809.30;191527998.31;0.00;1918012.52;201287820.13;1379997802.13;5620696283.04;2368406.38;0.00;0.00;5623064689.42;7003062491.55;1835433185.24;46403298.07;682742242.83;0.00;5835743.75;212842074.37;947823359.02;308873988.91;37292135.27;3129422668.44;3873639823.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;626157346.22;0.00;0.00;626157346.22;3633293.33;0.00;3633293.33;0.00;629790639.55;3243849183.56;10005176514.48;13249025698.04;344457230.62;1325640712.62;11578927754.80
0403400000;1st;2023;110310997.75;145179382.56;255490380.31;40969747.04;43728172.46;340188299.81;3685435.60;371441256.59;36785286.46;210036898.78;621948877.43;962137177.24;4594933551.00;25257245.42;1142159904.36;26909078.50;5789259779.28;6751396956.52;1550140621.79;111704707.35;1444438735.60;41556857.88;7976356.72;906364796.00;2512041453.55;223118254.49;41476427.47;4326776757.30;2424620199.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1315248519.89;0.00;0.00;1315248519.89;133305363.84;0.00;133305363.84;0.00;1448553883.73;976066315.49;4331226946.14;5307293261.63;841042920.06;86694534.73;4379555806.84
0405600000;1st;2023;323102297.59;461207612.11;784309909.70;4753233.09;46984148.64;836047291.43;29934158.45;179092005.07;877141855.37;61467750.00;1147635768.89;1983683060.32;4019901656.04;0.00;131257265.43;0.00;4151158921.47;6134841981.79;1303474528.27;169701175.22;782113972.80;0.00;0.00;445073184.51;1396888332.53;1091572633.29;61798575.42;3853734069.51;2281107912.28;0.00;0.00;0.00;0.00;285241123.89;0.00;285241123.89;0.00;285241123.89;453083754.23;0.00;0.00;453083754.23;207490841.95;0.00;207490841.95;0.00;660574596.18;1905774439.99;5110238798.77;7016013238.76;904569971.24;865095698.00;5246347569.52
0405800000;1st;2023;438767239.65;622720699.29;1061487938.94;113693066.15;138960447.91;1314141453.00;31450.00;1034327248.52;0.00;155029851.36;1189388549.88;2503530002.88;4443155544.96;2127180.25;0.00;0.00;4445282725.21;6948812728.09;855345606.49;225865002.06;994591437.30;0.00;120773327.12;95952023.71;1437181790.19;272260526.55;0.00;2564787923.23;4384024804.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;766151822.33;0.00;0.00;766151822.33;0.00;0.00;0.00;0.00;766151822.33;3617872982.53;13195435944.39;16813308926.92;480379357.66;1226362822.16;15106566747.10
1704000000;4th;2023;10981304.64;16050106.64;27031411.28;3506505.96;2437376.58;32975293.82;112100.00;49695131.67;47464825.00;7513637.03;104785693.70;137760987.52;972402911.04;414653.37;40598011.96;0.00;1013415576.37;1151176563.89;193036259.26;4740029.95;202864512.26;0.00;0.00;20392314.32;227996856.53;126778148.38;4742584.56;552553848.73;598622715.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;52897247.47;52897247.47;40690040.98;0.00;0.00;40690040.98;26855427.40;0.00;26855427.40;309395941.29;376941409.67;274578552.96;1166976424.79;1441554977.75;79296667.81;104636833.56;1257621476.38
1705100000;2nd;2023;36563383.11;48837686.39;85401069.50;12241212.39;3940182.97;101582464.86;3800269.00;28919260.57;0.00;918787.88;33638317.45;135220782.31;2002720710.96;174824.84;0.00;100000.00;2002995535.80;2138216318.11;718682288.59;20284290.27;581890467.17;0.00;118633821.18;55250583.20;776059161.82;311872082.42;6437432.98;1813050965.81;325165352.30;0.00;0.00;0.00;0.00;1101588.08;0.00;1101588.08;25667840.19;26769428.27;53613300.69;0.00;0.00;53613300.69;59998293.99;0.00;59998293.99;15894928.46;129506523.14;222428257.43;975794231.94;1198222489.37;395137867.20;214315727.81;588768894.36
1705200000;1st;2023;41358921.45;58934781.80;100293703.25;8687368.05;9000261.51;117981332.81;7341760.00;12481413.88;7664144.85;33039511.56;60526830.29;178508163.10;2192929650.00;0.00;1171915.80;10000.00;2194111565.80;2372619728.90;562988145.13;121821801.10;448053240.15;0.00;273928.39;28591971.90;598740941.54;205724844.33;1483792.08;1368937723.08;1003682005.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;34273524.50;34273524.50;184691985.38;0.00;0.00;184691985.38;16328054.02;0.00;16328054.02;25390552.54;226410591.94;811544938.38;2154021394.13;2965566332.51;517956978.08;495043205.86;1952566148.57
1705300000;1st;2023;63832288.36;91717027.67;155549316.03;98526608.59;15361851.66;269437776.28;20480799.62;407586352.77;2871140.00;155633947.82;586572240.21;856010016.49;3736494585.96;10032509.99;0.00;0.00;3746527095.95;4602537112.44;933281077.02;98082091.11;789828155.12;3766797.12;119721560.78;120676307.29;1132074911.42;254046587.02;89997942.22;2409400517.68;2193136594.76;0.00;0.00;2732210.58;2732210.58;75668515.76;0.00;75668515.76;1219191402.64;1297592128.98;110885947.18;0.00;0.00;110885947.18;338861986.43;0.00;338861986.43;1831480067.95;2281228001.56;1209500722.18;5305164823.50;6514665545.68;753068468.76;773124466.63;4988472610.29
1705900000;3rd;2023;6214281.84;9048215.99;15262497.83;5692054.93;1793870.23;22748422.99;1114019.06;2668659.83;100123179.29;277051.84;104182910.02;126931333.01;1134203904.96;0.00;0.00;0.00;1134203904.96;1261135237.97;229826128.90;7038159.97;12918194.71;0.00;0.00;37671923.71;57628278.39;257186076.33;0.00;544640483.62;716494754.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1524983.38;1524983.38;89550009.45;0.00;0.00;89550009.45;0.00;0.00;0.00;0.00;89550009.45;628469728.28;1821773481.63;2450243209.91;201697172.50;0.00;2248546037.41
0500500000;1st;2023;42812265.91;55613848.97;98426114.88;104515607.33;25433908.16;228375630.37;2637131.25;166551935.70;0.00;7156268.73;176345335.68;404720966.05;2469401207.04;6886453.88;0.00;817000.00;2477104660.92;2881825626.97;807341495.63;77855455.81;488306623.07;0.00;4640809.92;224099785.36;794902674.16;426927177.59;45552071.27;2074723418.65;807102208.32;140048.28;0.00;0.00;140048.28;225115713.35;0.00;225115713.35;0.00;225255761.63;331244884.95;0.00;0.00;331244884.95;82321121.76;0.00;82321121.76;0.00;413566006.71;618791963.24;2756811346.70;3375603309.94;956687185.00;75740809.53;2343175315.41
0501600000;2nd;2023;31407796.50;44889999.05;76297795.55;51415421.05;5736356.00;133449572.60;2631120.90;303596718.70;0.00;1786968.13;308014807.73;441464380.33;1604967333.00;0.00;0.00;0.00;1604967333.00;2046431713.33;677412828.12;28879641.85;523516473.41;4820059.83;2410575.85;153256224.40;712882975.34;177687439.20;39048699.97;1607031942.63;439399770.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;585325847.40;0.00;0.00;585325847.40;54416779.88;0.00;54416779.88;0.00;639742627.28;-200342856.58;589022350.94;388679494.36;0.00;0.00;388679494.36
0501700000;1st;2023;41975855.45;58880345.40;100856200.85;8691160.43;15614242.00;125161603.28;912100.00;1153886531.32;0.00;64248025.47;1219046656.79;1344208260.07;3416098221.00;719160.31;0.00;0.00;3416817381.31;4761025641.38;1433262638.39;66213941.01;835905901.00;7478572.79;0.00;36420977.85;946019392.65;569545748.99;144172484.92;3093000264.95;1668025376.43;0.00;0.00;0.00;0.00;101456483.55;0.00;101456483.55;108378323.44;209834806.99;561226891.38;0.00;0.00;561226891.38;327371652.90;0.00;327371652.90;0.00;888598544.28;989261639.14;2187483731.76;3176745370.90;887386162.88;165487359.48;2123871848.54
0502000000;3rd;2023;13732260.12;19244721.22;32976981.34;4059746.26;3841561.19;40878288.79;191200.00;29030751.47;91004310.12;3759942.18;123986203.77;164864492.56;1086942878.04;423346.07;88020577.96;1859780.00;1177246582.07;1342111074.63;535172726.52;14444935.32;214158840.86;0.00;0.00;24681332.36;253285108.54;225275649.84;8725019.50;1022458504.40;319652570.23;0.00;0.00;0.00;0.00;13980000.00;0.00;13980000.00;15185972.26;29165972.26;198582273.34;0.00;0.00;198582273.34;19347103.23;0.00;19347103.23;0.00;217929376.57;130889165.92;1115327271.54;1246216437.46;139085284.74;169424310.52;937706842.20
0504100000;1st;2023;36622526.51;52948206.23;89570732.74;0.00;1213637.90;90784370.64;2255523.50;58833154.02;0.00;1559529.24;62648206.76;153432577.40;2181026030.04;42621694.10;0.00;0.00;2223647724.14;2377080301.54;511229034.39;24908457.11;509165249.10;0.00;2769621.89;23660028.65;560503356.75;869032164.84;116249533.61;2057014089.59;320066211.95;1170832.84;0.00;881625.00;2052457.84;0.00;0.00;0.00;786432734.74;788485192.58;368267554.21;0.00;0.00;368267554.21;134719537.63;0.00;134719537.63;0.00;502987091.84;605564312.69;1273498971.52;1879063284.21;114147528.34;0.00;1764915755.87
0506200000;2nd;2023;23256605.39;32982339.93;56238945.32;15749280.99;10487221.49;82475447.80;11298138.90;370655607.10;0.00;9000869.29;390954615.29;473430063.09;1797152072.04;3532994.87;3500.00;1256500.00;1801945066.91;2275375130.00;721560381.35;23157775.01;875201739.64;0.00;0.00;171616441.07;1069975955.72;312495131.80;17211256.91;2121242725.78;154132404.22;0.00;0.00;0.00;0.00;44922058.92;0.00;44922058.92;128234985.10;173157044.02;248401132.95;0.00;0.00;248401132.95;82239016.86;0.00;82239016.86;109403421.21;440043571.02;-112754122.78;1681715387.21;1568961264.43;21088884.56;446246319.24;1101626060.63
0600400000;2nd;2023;57038234.53;81721743.40;138759977.93;21210356.56;36770432.30;196740766.79;1019060.00;16936834.19;564013357.88;450774.82;582420026.89;779160793.68;1516880745.96;218931.34;0.00;0.00;1517099677.30;2296260470.98;712774586.09;17764492.96;155536605.53;0.00;0.00;70605006.32;243906104.81;558187065.22;30032446.57;1544900202.69;751360268.29;0.00;0.00;0.00;0.00;59020750.08;0.00;59020750.08;0.00;59020750.08;281351993.50;0.00;0.00;281351993.50;63268491.82;0.00;63268491.82;0.00;344620485.32;465760533.05;1349705981.68;1815466514.73;291419626.05;317930572.06;1206116316.62
